averagage_rent,average_rent_for_tillable_land,density_of_dairy_cows,proportion_of_farmland_used_as_pasture,liming_requirement
1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,-1.0
-1.0,0.0,1.0,1.0,-1.0
1.0,1.0,1.0,1.0,-1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,1.0,0.0
-1.0,0.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,0.0,1.0,1.0,-1.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,1.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,-1.0
-1.0,0.0,0.0,0.0,-1.0
-1.0,-1.0,1.0,0.0,-1.0
-1.0,-1.0,0.0,1.0,0.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,-1.0
1.0,-1.0,1.0,1.0,-1.0
-1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,1.0,0.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,-1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,1.0,1.0,-1.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,-1.0,-1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,-1.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,0.0,-1.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
-1.0,0.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,0.0
1.0,1.0,1.0,-1.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,0.0,0.0,-1.0,0.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,-1.0
-1.0,0.0,0.0,1.0,-1.0
-1.0,0.0,-1.0,0.0,-1.0
-1.0,-1.0,0.0,0.0,-1.0
-1.0,-1.0,-1.0,1.0,0.0
-1.0,-1.0,-1.0,0.0,0.0
-1.0,0.0,0.0,1.0,-1.0
-1.0,-1.0,0.0,1.0,-1.0
-1.0,0.0,-1.0,0.0,0.0
-1.0,0.0,-1.0,0.0,0.0
-1.0,0.0,0.0,1.0,-1.0
-1.0,-1.0,0.0,1.0,-1.0
-1.0,0.0,0.0,1.0,-1.0
-1.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
-1.0,-1.0,0.0,1.0,-1.0
-1.0,-1.0,0.0,1.0,-1.0
-1.0,-1.0,0.0,1.0,-1.0
-1.0,0.0,-1.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,0.0
-1.0,0.0,-1.0,0.0,-1.0
-1.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,-1.0,0.0,-1.0,0.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-1.0,0.0
1.0,0.0,0.0,-1.0,1.0
-1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,0.0,-1.0,0.0
-1.0,-1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,1.0,1.0
-1.0,-1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
-1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0
-1.0,-1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
-1.0,-1.0,0.0,0.0,1.0
-1.0,-1.0,0.0,1.0,1.0
-1.0,-1.0,1.0,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
-1.0,-1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0
-1.0,0.0,-1.0,1.0,1.0
-1.0,0.0,-1.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0
-1.0,1.0,-1.0,0.0,1.0
1.0,1.0,-1.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0
-1.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0
1.0,0.0,-1.0,0.0,1.0
-1.0,0.0,-1.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0
-1.0,0.0,0.0,1.0,0.0
1.0,1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0
1.0,1.0,-1.0,0.0,0.0
-1.0,0.0,-1.0,0.0,1.0
1.0,1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0
-1.0,0.0,0.0,-1.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,1.0,0.0,-1.0
-1.0,0.0,1.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
-1.0,0.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,0.0
1.0,1.0,1.0,-1.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,0.0,0.0,-1.0,0.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,-1.0
1.0,1.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
1.0,1.0,1.0,1.0,-1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,0.0,1.0,1.0,-1.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,1.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,-1.0,-1.0,0.0
1.0,0.0,0.0,-1.0,1.0
-1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,1.0
-1.0,1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,0.0,1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,1.0
1.0,1.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,0.0
-1.0,1.0,0.0,-1.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,1.0,0.0
1.0,-1.0,1.0,1.0,-1.0
1.0,-1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,-1.0
1.0,-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,1.0,0.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,-1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,1.0,-1.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,-1.0,-1.0,0.0
1.0,0.0,0.0,-1.0,1.0
1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,0.0,-1.0,0.0
1.0,1.0,0.0,0.0,0.0
1.0,0.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,0.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,-1.0,-1.0,0.0
1.0,0.0,0.0,-1.0,1.0
1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,0.0,-1.0,0.0
-1.0,0.0,0.0,1.0,0.0
-1.0,0.0,1.0,1.0,-1.0
1.0,0.0,1.0,1.0,-1.0
-1.0,0.0,1.0,1.0,-1.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,-1.0
1.0,1.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
1.0,0.0,1.0,0.0,-1.0
-1.0,0.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,0.0
1.0,1.0,1.0,-1.0,-1.0
1.0,1.0,0.0,-1.0,-1.0
1.0,0.0,0.0,-1.0,0.0
1.0,1.0,0.0,-1.0,-1.0
1.0,1.0,1.0,-1.0,-1.0
1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
-1.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,1.0
1.0,1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,0.0
1.0,0.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,-1.0,0.0
1.0,0.0,1.0,0.0,1.0
-1.0,0.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,1.0
-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,0.0
-1.0,0.0,-1.0,0.0,-1.0
-1.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,0.0,1.0
-1.0,0.0,-1.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,-1.0
-1.0,0.0,1.0,0.0,0.0
